,silhouette,davies_bouldin,calinski_harabasz,n_clusters
KMeans,0.7226964871295095,0.7507309435390693,8121.560293239544,3.0
GMM,0.43320861295494795,1.06085210996648,4884.1232537509695,3.0
Hierarchical,0.7290562017091724,0.7628661674521329,7958.152151971478,3.0
DBSCAN,,,,1.0
Spectral,0.31395059982647255,1.021971352177852,4491.495004152152,3.0
