,Accuracy,Balanced Accuracy,Precision (weighted),Recall (weighted),F1-Score (weighted),Cohen's Kappa,F1-Score (macro),Precision (macro),Recall (macro)
Random Forest,0.9936,0.9803708996163886,0.9936186461538191,0.9936,0.9935721847030756,0.9589158720311582,0.968352359756846,0.9580792481806627,0.9803708996163886
Gradient Boosting,0.9932,0.9628270399672657,0.9931827934013705,0.9932,0.9931734446755885,0.9563402664990133,0.9585441320416289,0.9547751842383008,0.9628270399672657
SVM,0.996,0.9843903311260269,0.9960125603022377,0.996,0.9959657734331294,0.9741510694219558,0.9820261827810168,0.9803787658626368,0.9843903311260269
Logistic Regression,0.9496,0.5302948091879183,0.9456031906549853,0.9496,0.9397322368494017,0.5792167821705467,0.6068905475395655,0.9313697677652621,0.5302948091879183
KNN,0.996,0.9859627928362462,0.9960005762875497,0.996,0.9959756800872123,0.974262465202853,0.9820718230794278,0.9787692003020063,0.9859627928362462
Naive Bayes,0.9604,0.9571652762557452,0.9722834695340502,0.9604,0.9638068812459943,0.7890289963661843,0.8628601952061636,0.7967502986857825,0.9571652762557452
Decision Tree,0.9924,0.9641079989810849,0.9924213471502591,0.9924,0.9924055654939375,0.9516199179270103,0.9568277611616605,0.9499566144302897,0.9641079989810849
AdaBoost,0.9432,0.6408769422869739,0.9576850012134485,0.9432,0.9459860969427345,0.7077751564431873,0.5664502612384253,0.525818231074438,0.6408769422869739
