Model,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Weak Count,Average Count,Strong Count
K-Means,0.6687400241292645,0.5833802626063241,12358.670679226081,8573,1088,339
Hierarchical Clustering,0.6587184357442223,0.5990653556005997,11641.321009923464,8382,1361,257
GMM,0.20241953766006487,1.5831412232764819,1500.86810014986,4564,4274,1162
KNN (k=5),0.6691831707835277,0.5824489909359959,12352.718227701793,8576,1087,337
Random Forest,0.6687400241292645,0.5833802626063241,12358.670679226081,8573,1088,339
