username,source,model_score,exam_score,status
nishantwrp,GitHub,100.0,11.11,Completed
PsiACE,GitHub,98.35,22.22,Completed
LadyKerr,GitHub,98.21,0.0,Completed
zyyv,GitHub,99.16,22.22,Completed
