username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
benbalter,95.45382627275,Strong,benbalter,10324,149,249,60,5749.054965,150.0611684,1,1,1,0,1,30,324,10.8,340,11.33333333,324,10.8,206,6.866666667,9330.966667,491.0,0.1,0.366666667,0.0,0.4,0.933333333,9,0.28,1.022742443,4.230057258,30,7,1,0,10,2,0,0,3,3.074085036,9.242323418,5.783825182,5.831882477,5.783825182,68.82666667,2,Strong,95.45382627275
VishnuSanal,95.25809959473555,Strong,VishnuSanal,290,296,61,11,2486.211006,0.708748751,1,1,1,0,0,30,165,5.5,29,0.966666667,165,5.5,44,1.466666667,14054.4,349.0,0.3,0.1,0.0,0.1,0.7,10,0.24137931,34.40617931,7.36664227,30,14,4,1,1,1,2,0,6,1.645936251,5.673323267,5.111987788,3.401197382,5.111987788,0.976430976,2,Strong,95.25809959473555
HollowMan6,95.07375430687145,Strong,HollowMan6,1628,50,98,40,2685.345615,8.717200914,1,1,1,1,0,30,147,4.9,38,1.266666667,147,4.9,2,0.066666667,33183.8,520.0,0.1,0.033333333,0.0,0.066666667,0.9,15,0.233333333,60.17134443,3.717362951,28,9,3,5,2,1,3,1,0,0.107860636,7.395721609,4.997212274,3.663561646,4.997212274,31.92156863,2,Strong,95.07375430687145
BRAVO68WEB,95.03802472396822,Strong,BRAVO68WEB,287,166,334,29,2767.149642,9.148704188,1,1,1,1,0,30,7,0.233333333,4,0.133333333,7,0.233333333,12,0.4,56676.96667,213.0,0.3,0.066666667,0.0,0.133333333,0.7,7,0.4,15.71016252,15.71011623,30,6,9,0,0,0,6,1,4,0.493889373,5.66296048,2.079441542,1.609437912,2.079441542,1.718562874,2,Strong,95.03802472396822
snitin315,94.91610562783083,Strong,snitin315,1190,4,130,2,2589.414159,19.75051355,1,1,1,1,0,30,3,0.1,5,0.166666667,3,0.1,2,0.066666667,85001.63333,7821.5,0.9,0.0,0.0,0.1,0.1,3,0.8,188.3094256,99.10094179,30,9,3,6,3,4,2,0,0,0.444136236,7.082548569,1.386294361,1.791759469,1.386294361,238.0,2,Strong,94.91610562783083
0x61nas,94.81642731756203,Strong,0x61nas,284,51,36,62,2651.546578,6.394900066,1,1,1,1,0,30,228,7.6,21,0.7,228,7.6,104,3.466666667,16023.83333,485.5,0.1,0.2,0.0,0.1,1.0,10,0.37037037,0.184518121,0.184471825,30,16,3,2,0,0,2,0,6,0.184506547,5.65248918,5.433722004,3.091042453,5.433722004,5.461538462,2,Strong,94.81642731756203
liyupi,94.78055768679155,Strong,liyupi,21319,30,96,0,3275.550948,11.55649219,1,1,1,1,0,30,19638,654.6,4051,135.0333333,19638,654.6,123,4.1,33120.46667,513.5,0.266666667,0.0,0.0,0.133333333,0.733333333,5,0.333333333,8.582105616,0.228760708,30,14,1,4,2,3,2,0,4,8.582094041,9.967400878,9.885272664,8.306965865,9.885272664,687.7096774,2,Strong,94.78055768679155
CrazyBoyM,94.62351061446398,Strong,CrazyBoyM,714,180,158,3,2954.331323,43.5066704,1,1,1,1,0,30,109,3.633333333,26,0.866666667,109,3.633333333,0,0.0,17159.1,3895.5,0.766666667,0.0,0.0,0.0,0.233333333,7,0.4,17.99825605,3.534100955,30,10,1,0,2,9,1,1,6,0.184529196,6.572282543,4.700480366,3.295836866,4.700480366,3.944751381,2,Strong,94.62351061446398
Olanetsoft,94.58630027534909,Strong,Olanetsoft,1272,99,315,37,2620.447403,3.083467376,1,1,1,1,0,30,2026,67.53333333,286,9.533333333,2026,67.53333333,34,1.133333333,3918.6,147.5,0.366666667,0.0,0.0,0.0,0.6,7,0.5,12.24346738,1.400828487,30,19,1,5,0,1,1,0,1,1.19285395,7.149131599,7.614312146,5.659482216,7.614312146,12.72,2,Strong,94.58630027534909
hoc081098,94.28951176482575,Strong,hoc081098,908,157,166,137,2908.522131,20.3789486,1,1,1,1,0,30,403,13.43333333,69,2.3,403,13.43333333,120,4.0,34306.13333,2025.0,0.3,0.0,0.0,0.0,0.7,5,0.5,0.909052766,1.194087488,30,15,3,3,0,1,1,0,3,0.304446284,6.812345094,6.001414878,4.248495242,6.001414878,5.746835443,2,Strong,94.28951176482575
luoling8192,93.93199925995847,Strong,luoling8192,487,292,64,16,2659.609028,11.11097228,1,1,1,1,0,30,134,4.466666667,8,0.266666667,134,4.466666667,4,0.133333333,10312.1,1482.0,0.6,0.1,0.0,0.0,0.4,8,0.3125,2.166007,2.165601908,30,18,4,0,1,1,2,0,0,1.477928297,6.190315406,4.905274778,2.197224577,4.905274778,1.662116041,2,Strong,93.93199925995847
xingyaoww,93.80270192705584,Strong,xingyaoww,1264,58,124,6,2847.533589,2.917755519,1,1,1,1,0,30,1635,54.5,130,4.333333333,1635,54.5,16,0.533333333,24522.23333,4794.0,0.833333333,0.0,0.033333333,0.0,0.166666667,5,0.529411765,0.649167556,0.649132834,30,8,7,2,1,6,3,0,0,0.767153667,7.142827401,7.400009517,4.875197323,7.400009517,21.42372881,2,Strong,93.80270192705584
renbaoshuo,93.67256250467183,Strong,renbaoshuo,572,144,189,11,2574.774687,8.774524768,1,1,1,1,0,30,145,4.833333333,8,0.266666667,145,4.833333333,7,0.233333333,4635.9,955.0,0.566666667,0.066666667,0.033333333,0.2,0.4,6,0.454545455,20.60307801,24.59737199,30,11,2,3,0,2,0,0,11,1.540115046,6.350885717,4.983606622,2.197224577,4.983606622,3.944827586,2,Strong,93.67256250467183
