username,GTS,cluster_name,username,followers,following,public_repos_reported,public_gists,account_age_days,profile_updated_days_ago,has_bio,has_company,has_blog,hireable,site_admin,repos_fetched,total_stars,avg_stars,total_forks,avg_forks,total_watchers,avg_watchers,total_open_issues,avg_open_issues,avg_repo_size_kb,median_repo_size_kb,fork_ratio,archived_ratio,disabled_ratio,has_pages_ratio,has_issues_ratio,unique_languages,top_language_share,days_since_last_push,days_since_last_repo_update,events_fetched,events_PushEvent,events_PullRequestEvent,events_PullRequestReviewEvent,events_IssuesEvent,events_IssueCommentEvent,events_CreateEvent,events_ForkEvent,events_WatchEvent,days_since_last_event,log_followers,log_total_stars,log_total_forks,log_total_watchers,follower_following_ratio,cluster_label,cluster_name,GTS
BenNeighbour,74.05134176027781,Strong,BenNeighbour,638,310,161,0,2630.583576,12.36247629,1,1,1,1,0,30,53,1.766666667,4,0.133333333,53,1.766666667,0,0.0,107041.1333,1474.0,0.866666667,0.0,0.0,0.033333333,0.133333333,4,0.4,5.662522585,97.00310129,15,0,0,1,0,0,0,2,12,4.968402215,6.459904454,3.988984047,1.609437912,3.988984047,2.051446945,2,Strong,74.05134176027781
ankushKun,74.03329825300672,Strong,ankushKun,261,268,156,12,2478.654048,7.437658748,1,0,1,1,0,30,86,2.866666667,37,1.233333333,86,2.866666667,11,0.366666667,37971.73333,868.5,0.3,0.0,0.0,0.2,0.666666667,5,0.434782609,6.178793007,6.178746711,30,23,1,0,0,0,0,1,4,0.353908748,5.568344504,4.465908119,3.63758616,4.465908119,0.970260223,2,Strong,74.03329825300672
ericciarla,74.02724723314107,Strong,ericciarla,415,2,35,3,2704.142762,57.13177848,1,1,1,0,0,30,986,32.86666667,103,3.433333333,986,32.86666667,1,0.033333333,18603.3,800.5,0.5,0.0,0.0,0.066666667,0.5,10,0.333333333,4.798028479,1.415262275,21,16,0,3,0,0,0,0,2,4.798016905,6.03068526,6.894670039,4.644390899,6.894670039,138.3333333,2,Strong,74.02724723314107
tcc0lin,74.02490706150539,Strong,tcc0lin,562,59,43,2,2581.303386,200.7464765,1,1,1,1,0,30,2258,75.26666667,572,19.06666667,2258,75.26666667,25,0.833333333,6157.033333,260.5,0.366666667,0.0,0.0,0.0,0.633333333,7,0.272727273,148.3951802,1.408768156,2,1,0,0,0,0,0,0,1,10.37280751,6.333279628,7.722677516,6.350885717,7.722677516,9.366666667,2,Strong,74.02490706150539
YSGStudyHards,74.02034118995256,Strong,YSGStudyHards,990,350,106,0,2944.24771,10.37096265,1,1,1,0,0,30,1268,42.26666667,149,4.966666667,1268,42.26666667,1,0.033333333,1518178.467,5382.5,0.933333333,0.0,0.0,0.0,0.066666667,2,0.666666667,3.23566172,0.739863109,30,18,0,0,0,0,0,6,6,3.122860794,6.898714534,7.145984468,5.010635294,7.145984468,2.820512821,2,Strong,74.02034118995256
saumya1singh,73.95279174288456,Strong,saumya1singh,1319,138,241,34,2584.316669,40.51019862,1,1,0,0,0,30,78,2.6,144,4.8,78,2.6,87,2.9,33630.9,1075.5,0.733333333,0.0,0.0,0.033333333,0.266666667,4,0.470588235,103.3312982,10.43115926,30,7,12,2,0,1,6,0,0,1.765615283,7.185387016,4.369447852,4.976733742,4.369447852,9.489208633,2,Strong,73.95279174288456
0xb0b1,73.92447748171934,Strong,0xb0b1,452,4429,94,2,2944.34152,34.26168253,1,1,1,1,0,30,39,1.3,1,0.033333333,39,1.3,0,0.0,4400.933333,784.0,0.6,0.0,0.0,0.033333333,0.4,6,0.2,31.30591864,31.30587235,5,0,0,0,0,0,0,2,3,15.08730753,6.115892125,3.688879454,0.693147181,3.688879454,0.102031603,2,Strong,73.92447748171934
PatheticMustan,73.88120609149368,Strong,PatheticMustan,331,29,39,111,2955.042554,10.91690595,1,0,1,1,0,30,24,0.8,15,0.5,24,0.8,5,0.166666667,4145.133333,415.5,0.033333333,0.233333333,0.0,0.133333333,0.9,7,0.464285714,20.01654716,20.01954484,30,23,0,0,0,0,2,0,2,20.01654716,5.805134969,3.218875825,2.772588722,3.218875825,11.03333333,2,Strong,73.88120609149368
Kalebu,73.87442695442272,Strong,Kalebu,927,883,244,1,2759.361917,61.53888424,1,1,1,1,0,30,436,14.53333333,126,4.2,436,14.53333333,54,1.8,13846.23333,906.0,0.666666667,0.0,0.0,0.033333333,0.333333333,4,0.571428571,27.84399998,3.282217569,4,0,0,0,0,0,0,3,1,14.97806248,6.833031733,6.079933195,4.844187086,6.079933195,1.048642534,2,Strong,73.87442695442272
jamescalam,73.87431029341046,Strong,jamescalam,1347,20,67,353,2938.011266,16.52593054,0,1,1,0,0,30,234,7.8,91,3.033333333,234,7.8,21,0.7,47575.23333,1155.5,0.266666667,0.0,0.0,0.033333333,0.733333333,3,0.571428571,3.224530074,30.63344211,24,5,4,1,3,3,2,0,0,1.668696741,7.206377291,5.459585514,4.521788577,5.459585514,64.14285714,2,Strong,73.87431029341046
serkodev,73.83055961168238,Strong,serkodev,330,96,79,9,2659.308637,5.335893497,1,0,1,0,0,30,1357,45.23333333,37,1.233333333,1357,45.23333333,8,0.266666667,4276.466667,958.0,0.666666667,0.0,0.0,0.0,0.333333333,4,0.636363636,2.892328682,0.211796275,30,19,5,0,1,2,1,0,1,4.151530071,5.802118375,7.213768308,3.63758616,7.213768308,3.402061856,2,Strong,73.83055961168238
martin-lechene,73.76993931388695,Strong,martin-lechene,319,801,28,0,2584.094434,4.984966432,1,1,1,1,0,28,21,0.75,0,0.0,21,0.75,11,0.392857143,6690.142857,44.5,0.214285714,0.0,0.0,0.107142857,0.714285714,10,0.423076923,2.419815969,4.417929395,30,0,0,0,0,0,0,0,30,2.512153932,5.768320996,3.091042453,0.0,3.091042453,0.397755611,2,Strong,73.76993931388695
cainhooow,73.747283836229,Strong,cainhooow,347,550,32,2,2848.743311,1.8333114,1,1,0,1,0,30,67,2.233333333,3,0.1,67,2.233333333,0,0.0,22640.43333,919.0,0.333333333,0.033333333,0.0,0.033333333,0.633333333,12,0.15,0.084121585,0.084086863,30,26,0,0,1,0,0,0,3,0.084110011,5.85220248,4.219507705,1.386294361,4.219507705,0.629764065,2,Strong,73.747283836229
labuladong,73.74376908847223,Strong,labuladong,6829,8,26,1,2899.233146,35.6415257,1,0,1,1,0,26,133097,5119.115385,23870,918.0769231,133097,5119.115385,13,0.5,25413.30769,2808.0,0.538461538,0.0,0.0,0.0,0.5,9,0.25,8.808308106,0.198308106,30,4,4,0,9,10,2,1,0,8.777798847,8.829079953,11.79884098,10.08041961,11.79884098,758.7777778,2,Strong,73.74376908847223
qgallouedec,73.7420737787654,Strong,qgallouedec,829,100,79,26,2630.526885,40.3835398,1,1,0,0,0,30,43,1.433333333,4,0.133333333,43,1.433333333,2,0.066666667,68686.73333,8696.0,0.766666667,0.1,0.0,0.033333333,0.233333333,4,0.714285714,16.10869027,16.10955832,30,8,3,4,0,1,1,0,0,0.762220358,6.721425701,3.784189634,1.609437912,3.784189634,8.207920792,2,Strong,73.7420737787654
Suxiaoqinx,73.73850536332255,Strong,Suxiaoqinx,305,6,47,0,2889.388131,75.23139474,1,1,1,0,0,30,2362,78.73333333,476,15.86666667,2362,78.73333333,54,1.8,153122.1667,215.0,0.4,0.0,0.0,0.0,0.6,7,0.3125,24.79744798,0.201325298,22,2,0,0,1,15,2,1,0,11.18618641,5.723585102,7.767687277,6.167516491,7.767687277,43.57142857,2,Strong,73.73850536332255
mattn,73.73175018195776,Strong,mattn,13194,1697,2141,1936,6486.861472,22.7618766,1,0,1,0,0,30,1919,63.96666667,170,5.666666667,1919,63.96666667,34,1.133333333,558.5666667,116.5,0.633333333,0.0,0.0,0.0,0.366666667,8,0.5,0.610244652,0.610233078,30,14,5,0,2,0,6,1,0,0.232397429,9.487593249,7.560080465,5.141663557,7.560080465,7.770318021,2,Strong,73.73175018195776
instafluff,73.65937727154605,Strong,instafluff,495,9,176,6,2943.266844,6.355304408,1,1,1,0,0,30,96,3.2,31,1.033333333,96,3.2,68,2.266666667,2043.6,35.0,0.033333333,0.0,0.0,0.233333333,0.966666667,4,0.565217391,578.1591354,70.0963345,11,5,0,0,3,0,0,1,2,2.10491089,6.206575927,4.574710979,3.465735903,4.574710979,49.5,2,Strong,73.65937727154605
Maddiaa0,73.62493240930604,Strong,Maddiaa0,340,588,81,1,2573.3122,6.23952604,1,1,0,0,0,30,27,0.9,3,0.1,27,0.9,3,0.1,13341.86667,1134.5,0.7,0.0,0.0,0.033333333,0.3,8,0.333333333,122.0495029,122.0496765,22,5,3,5,1,1,2,1,4,1.13802141,5.831882477,3.33220451,1.386294361,3.33220451,0.577249576,2,Strong,73.62493240930604
fernandobelotto,73.62369570691338,Strong,fernandobelotto,271,1802,31,25,2869.246132,25.01982368,1,0,1,0,0,30,29,0.966666667,3,0.1,29,0.966666667,81,2.7,26782.7,1745.0,0.233333333,0.066666667,0.0,0.066666667,0.766666667,3,0.727272727,0.115784333,0.101791277,30,7,7,0,0,0,8,1,7,0.101791277,5.605802066,3.401197382,1.386294361,3.401197382,0.150305047,2,Strong,73.62369570691338
kadirnar,73.61903146564725,Strong,kadirnar,1101,988,101,3,2930.166616,0.375562476,1,1,0,1,0,30,363,12.1,74,2.466666667,363,12.1,63,2.1,10427.16667,526.5,0.2,0.0,0.0,0.0,0.766666667,2,0.928571429,0.311222198,4.307668958,23,6,2,0,2,4,3,0,4,0.311210624,7.00488199,5.897153868,4.317488114,5.897153868,1.113245703,2,Strong,73.61903146564725
patrickloeber,73.61088875162889,Strong,patrickloeber,6125,0,62,13,2464.365077,0.473491674,1,1,1,0,0,30,1360,45.33333333,788,26.26666667,1360,45.33333333,50,1.666666667,28697.7,547.0,0.6,0.0,0.0,0.0,0.4,6,0.578947368,24.09787825,0.432380563,8,4,0,2,1,1,0,0,0,1.287727785,8.720297287,7.215975003,6.670766321,7.215975003,6125.0,2,Strong,73.61088875162889
srevinsaju,73.60020588659461,Strong,srevinsaju,454,424,282,1,2525.07173,38.70399809,1,1,1,0,0,30,1,0.033333333,1,0.033333333,1,0.033333333,378,12.6,19811.83333,882.5,0.8,0.033333333,0.0,0.0,0.2,5,0.333333333,7.272921701,47.11750503,11,5,0,0,0,0,5,0,0,7.272910127,6.120297419,0.693147181,0.693147181,0.693147181,1.068235294,2,Strong,73.60020588659461
YerongAI,73.58502844414755,Strong,YerongAI,819,0,4,0,2657.464319,11.77120547,1,1,1,0,0,4,13025,3256.25,1441,360.25,13025,3256.25,3,0.75,27686.25,24695.0,0.25,0.0,0.0,0.5,0.75,3,0.333333333,0.579272599,0.326193895,30,15,7,5,0,2,0,0,0,0.579261025,6.70930434,9.474702639,7.273786318,9.474702639,819.0,2,Strong,73.58502844414755
naveensingh,73.57584370537428,Strong,naveensingh,458,41,29,0,2925.314288,1.170039852,1,1,0,1,0,29,350,12.06896552,78,2.689655172,350,12.06896552,23,0.793103448,659856.931,3027.0,0.793103448,0.137931034,0.0,0.034482759,0.206896552,10,0.285714286,4.762551426,0.500699574,30,4,3,7,9,3,0,0,0,0.295745871,6.12905021,5.860786223,4.369447852,5.860786223,10.9047619,2,Strong,73.57584370537428
hansputera,73.52545310359552,Strong,hansputera,298,219,246,22,2550.252559,6.33957249,1,0,1,1,0,30,60,2.0,20,0.666666667,60,2.0,21,0.7,568.9666667,47.5,0.133333333,0.2,0.0,0.033333333,0.866666667,9,0.44,211.0868989,44.58182943,30,24,0,0,5,1,0,0,0,0.537118786,5.700443573,4.110873864,3.044522438,4.110873864,1.354545455,2,Strong,73.52545310359552
EdwardLab,73.52353613187307,Strong,EdwardLab,580,3,84,0,2813.768618,1.338224443,1,1,1,1,0,30,132,4.4,12,0.4,132,4.4,2,0.066666667,134144.0,38.5,0.2,0.0,0.0,0.133333333,0.8,8,0.3,113.2110948,19.18950917,8,2,0,0,0,0,0,0,3,2.149358702,6.364750757,4.890349128,2.564949357,4.890349128,145.0,2,Strong,73.52353613187307
NickCH-K,73.5198514743295,Strong,NickCH-K,711,3,57,13,2657.125329,11.9017531,1,1,1,0,0,30,1378,45.93333333,450,15.0,1378,45.93333333,7,0.233333333,12797.83333,1184.0,0.4,0.0,0.0,0.166666667,0.6,6,0.363636364,10.87818829,1.793246159,13,6,0,0,3,4,0,0,0,1.440954493,6.568077911,7.229113878,6.11146734,7.229113878,177.75,2,Strong,73.5198514743295
teja156,73.3377010283434,Strong,teja156,823,0,65,4,2726.220238,25.42771513,1,1,1,0,0,30,727,24.23333333,359,11.96666667,727,24.23333333,108,3.6,2690.333333,18.0,0.166666667,0.0,0.0,0.066666667,0.833333333,4,0.730769231,0.855759109,0.856002165,6,2,2,0,0,0,2,0,0,7.729601702,6.71417053,6.590301048,5.886104031,6.590301048,823.0,2,Strong,73.3377010283434
trekhleb,73.32163141347655,Strong,trekhleb,17746,6,25,0,4815.55539,64.73309877,1,1,1,1,0,25,255134,10205.36,40106,1604.24,255134,10205.36,613,24.52,88542.24,10966.0,0.0,0.0,0.0,0.56,0.96,5,0.421052632,0.586628861,0.221177472,30,30,0,0,0,0,0,0,0,0.586617287,9.783971767,12.4495481,10.59930616,12.4495481,2535.142857,2,Strong,73.32163141347655
rizqiwahyudi,73.3189945116597,Strong,rizqiwahyudi,265,439,74,0,2764.614074,2.329120294,1,1,1,0,0,30,4,0.133333333,4,0.133333333,4,0.133333333,0,0.0,19678.96667,3902.5,0.933333333,0.0,0.0,0.0,0.066666667,6,0.25,12.66165502,12.66159715,18,11,2,0,0,0,2,3,0,9.794976775,5.583496309,1.609437912,1.609437912,1.609437912,0.602272727,2,Strong,73.3189945116597
waydabber,73.29603680519158,Strong,waydabber,853,2,9,3,2888.220439,33.13274236,1,1,1,0,0,9,30513,3390.333333,652,72.44444444,30513,3390.333333,206,22.88888889,50692.0,44.0,0.111111111,0.0,0.0,0.111111111,0.888888889,3,0.571428571,0.190948378,0.190913656,30,2,0,0,12,13,0,0,0,0.171191434,6.749931194,10.32594087,6.481577129,10.32594087,284.3333333,2,Strong,73.29603680519158
app-generator,73.2790073773348,Strong,app-generator,1926,8,7233,0,2455.710032,157.4941986,1,1,1,0,0,30,848,28.26666667,208,6.933333333,848,28.26666667,59,1.966666667,6684.666667,73.0,0.2,0.0,0.0,0.0,0.8,6,0.4,90.20034439,21.30565689,30,29,0,0,0,0,1,0,0,0.120610594,7.563719668,6.744059186,5.342334252,6.744059186,214.0,2,Strong,73.2790073773348
lingtengqiu,73.27458562657617,Strong,lingtengqiu,308,235,69,0,2898.472858,16.49082071,1,1,1,0,0,30,196,6.533333333,41,1.366666667,196,6.533333333,15,0.5,67726.33333,1752.5,0.8,0.0,0.0,0.033333333,0.2,4,0.625,3.463992003,3.463864689,20,2,0,0,1,2,0,0,15,0.929744318,5.733341277,5.283203729,3.737669618,5.283203729,1.305084746,2,Strong,73.27458562657617
hauntmuskie,73.27013307991275,Strong,hauntmuskie,691,648,66,7,2606.568219,8.753797392,1,1,1,1,0,30,18,0.6,0,0.0,18,0.6,0,0.0,316580.4333,142193.5,0.866666667,0.0,0.0,0.0,0.133333333,9,0.166666667,56.09927193,12.7746886,8,0,0,0,0,0,0,0,8,4.589815911,6.539585956,2.944438979,0.0,2.944438979,1.064714946,2,Strong,73.27013307991275
T8RIN,73.25573541424998,Strong,T8RIN,900,26,87,7,2427.072333,19.36617513,1,0,1,0,0,30,805,26.83333333,53,1.766666667,805,26.83333333,5,0.166666667,103807.2333,4917.0,0.566666667,0.0,0.0,0.0,0.433333333,5,0.7,38.18895291,13.17195059,30,13,1,0,7,4,1,0,2,0.418200592,6.803505258,6.692083743,3.988984047,6.692083743,33.33333333,2,Strong,73.25573541424998
rexim,73.22298806398292,Strong,rexim,12623,1,79,70,5910.895046,74.79127252,1,1,0,0,0,30,1205,40.16666667,91,3.033333333,1205,40.16666667,51,1.7,872.0333333,32.5,0.3,0.0,0.0,0.0,0.666666667,12,0.260869565,50.51052021,1.399212337,30,9,6,1,0,6,2,0,2,3.482082708,9.443355043,7.095064377,4.521788577,7.095064377,6311.5,2,Strong,73.22298806398292
Charles-Chrismann,73.22227878538699,Strong,Charles-Chrismann,15803,28,27,0,1843.319227,11.31933083,1,1,1,1,0,27,335,12.40740741,28,1.037037037,335,12.40740741,0,0.0,259676.8148,120.0,0.074074074,0.0,0.0,0.0,0.925925926,4,0.454545455,0.293150275,0.293115553,30,30,0,0,0,0,0,0,0,0.293138701,9.668018352,5.81711116,3.36729583,5.81711116,544.9310345,2,Strong,73.22227878538699
asdfugil,73.16010698706093,Strong,asdfugil,426,55,109,7,2730.260438,16.35524079,1,0,1,0,0,30,109,3.633333333,15,0.5,109,3.633333333,4,0.133333333,16436.0,417.5,0.566666667,0.233333333,0.033333333,0.066666667,0.433333333,9,0.333333333,45.57073848,15.31080792,30,21,0,1,0,1,5,0,2,0.29194218,6.056784013,4.700480366,2.772588722,4.700480366,7.607142857,2,Strong,73.16010698706093
imprakharshukla,73.14320033688325,Strong,imprakharshukla,284,4,77,42,2811.729645,11.4775033,1,0,1,1,0,30,21,0.7,3,0.1,21,0.7,11,0.366666667,461732.9333,266.5,0.333333333,0.0,0.0,0.0,0.6,6,0.315789474,4.667792651,4.667202374,30,24,0,0,0,1,2,0,3,3.2962533,5.65248918,3.091042453,1.386294361,3.091042453,56.8,2,Strong,73.14320033688325
jongwooo,73.1384958738184,Strong,jongwooo,298,229,12,0,2684.422066,2.253813945,1,1,0,1,0,12,35,2.916666667,5,0.416666667,35,2.916666667,21,1.75,260344.5833,2624.0,0.166666667,0.25,0.0,0.166666667,0.583333333,8,0.222222222,0.135966723,0.135804686,30,4,1,10,0,6,1,0,0,0.135966723,5.700443573,3.583518938,1.791759469,3.583518938,1.295652174,2,Strong,73.1384958738184
daoodaba975,73.11864479071701,Strong,daoodaba975,262,91,63,0,2610.26644,29.26308335,1,0,1,0,0,30,116,3.866666667,78,2.6,116,3.866666667,1,0.033333333,1928.233333,634.5,0.3,0.233333333,0.0,0.1,0.7,11,0.208333333,0.19322224,1.952157425,30,14,3,2,1,5,0,0,5,0.188569462,5.572154032,4.762173935,4.369447852,4.762173935,2.847826087,2,Strong,73.11864479071701
avs-abhishek123,73.10804956901897,Strong,avs-abhishek123,623,21,310,15,2678.620207,25.15198929,1,1,1,1,0,30,59,1.966666667,354,11.8,59,1.966666667,1,0.033333333,31194.46667,1293.0,0.6,0.0,0.0,0.0,0.366666667,2,0.666666667,26.483193,26.48276476,15,15,0,0,0,0,0,0,0,6.262024015,6.436150368,4.094344562,5.872117789,4.094344562,28.31818182,2,Strong,73.10804956901897
IsshikiHugh,73.10215555805983,Strong,IsshikiHugh,273,141,12,0,2529.523523,0.367596578,1,1,1,0,0,12,1284,107.0,97,8.083333333,1284,107.0,7,0.583333333,24174.41667,4413.5,0.25,0.0,0.0,0.333333333,0.75,4,0.666666667,0.041520189,0.041473893,30,15,0,0,0,0,1,0,14,0.041508615,5.613128106,7.158513997,4.584967479,7.158513997,1.922535211,2,Strong,73.10215555805983
vaaaaanquish,73.03843060509872,Strong,vaaaaanquish,258,135,66,3,2566.82825,101.5855651,1,1,1,0,0,30,2420,80.66666667,137,4.566666667,2420,80.66666667,18,0.6,38171.3,132.5,0.533333333,0.033333333,0.0,0.033333333,0.466666667,5,0.65,873.2647318,0.301456347,8,7,0,1,0,0,0,0,0,23.68184987,5.556828062,7.791935957,4.927253685,7.791935957,1.897058824,2,Strong,73.03843060509872
chapimenge3,72.95736598554979,Strong,chapimenge3,460,50,88,20,2537.505997,6.126853796,1,1,1,1,0,30,138,4.6,86,2.866666667,138,4.6,15,0.5,38181.1,119.5,0.2,0.0,0.0,0.066666667,0.766666667,7,0.304347826,162.0492612,11.20232833,4,0,0,0,0,0,0,0,4,2.542907037,6.133398043,4.934473933,4.465908119,4.934473933,9.019607843,2,Strong,72.95736598554979
smv1999,72.83245218097605,Strong,smv1999,372,49,119,89,2723.178118,5.356809728,1,1,1,1,0,30,1313,43.76666667,378,12.6,1313,43.76666667,0,0.0,17409.3,161.5,0.3,0.0,0.0,0.033333333,0.666666667,7,0.333333333,340.2766824,11.30265464,1,0,0,0,0,0,0,0,1,26.3568676,5.92157842,7.180831199,5.937536205,7.180831199,7.44,2,Strong,72.83245218097605
niudai,72.83242353309544,Strong,niudai,768,84,57,0,2679.397448,95.12190401,1,1,1,1,0,30,4347,144.9,722,24.06666667,4347,144.9,54,1.8,42215.26667,1064.0,0.3,0.0,0.0,0.0,0.666666667,8,0.4,25.32939243,6.349566046,8,5,0,0,0,0,2,0,0,15.70842021,6.64509097,8.377471248,6.583409222,8.377471248,9.035294118,2,Strong,72.83242353309544
jisungbin,72.8141476406021,Strong,jisungbin,500,100,58,35,2785.232864,20.47345453,1,1,1,0,0,30,402,13.4,10,0.333333333,402,13.4,104,3.466666667,2330.466667,310.5,0.4,0.333333333,0.0,0.033333333,0.666666667,5,0.75,2.574843415,1.192320267,7,2,0,0,0,0,0,0,5,0.20883647,6.216606101,5.998936562,2.397895273,5.998936562,4.95049505,2,Strong,72.8141476406021
sainnhe,72.75414274584679,Strong,sainnhe,509,17,60,6,2890.818624,4.369271988,0,1,1,0,0,30,9957,331.9,642,21.4,9957,331.9,67,2.233333333,39171.33333,902.0,0.3,0.133333333,0.0,0.066666667,0.666666667,13,0.192307692,3.35123958,0.101054395,30,20,0,0,2,8,0,0,0,3.35123958,6.234410726,9.206131527,6.466144724,9.206131527,28.27777778,2,Strong,72.75414274584679
lucenarenato,72.74643555976338,Strong,lucenarenato,290,1876,504,156,2846.973426,5.733275384,1,1,1,0,0,30,6,0.2,2,0.066666667,6,0.2,14,0.466666667,3866.166667,187.5,0.6,0.0,0.0,0.0,0.4,4,0.5,365.1487499,316.1118518,10,5,0,0,0,0,1,4,0,2.74650455,5.673323267,1.945910149,1.098612289,1.945910149,0.154501865,2,Strong,72.74643555976338
AskAlexSharov,72.74043223557189,Strong,AskAlexSharov,439,3,48,4,2581.590878,25.56892158,1,0,1,0,0,30,38,1.266666667,11,0.366666667,38,1.266666667,36,1.2,4452.0,737.5,0.7,0.0,0.0,0.0,0.3,6,0.4375,438.7934818,67.82762528,30,15,3,3,4,2,3,0,0,0.292278058,6.086774727,3.663561646,2.48490665,3.663561646,109.75,2,Strong,72.74043223557189
karpathy,72.72457257295167,Strong,karpathy,132691,8,61,11,5789.16819,7.810585808,1,0,1,0,0,30,235758,7858.6,31573,1052.433333,235758,7858.6,1202,40.06666667,29288.9,290.5,0.1,0.033333333,0.0,0.033333333,0.866666667,9,0.444444444,1.191453863,0.206465437,30,18,1,0,1,8,0,0,2,0.958317289,11.79578593,12.37056538,10.36008928,12.37056538,14743.44444,2,Strong,72.72457257295167
isidentical,72.72449135012994,Average,isidentical,775,91,124,38,2566.29027,31.67054793,1,1,1,1,0,30,31,1.033333333,3,0.1,31,1.033333333,12,0.4,33128.43333,498.0,0.8,0.0,0.0,0.033333333,0.2,3,0.846153846,205.0073303,148.009703,3,0,0,3,0,0,0,0,0,9.647503951,6.65415252,3.465735903,1.386294361,3.465735903,8.423913043,1,Average,72.72449135012994
VirtualAlllocEx,72.70562820886525,Strong,VirtualAlllocEx,784,20,37,2,2484.465485,0.598783289,1,1,1,0,0,30,1922,64.06666667,323,10.76666667,1922,64.06666667,4,0.133333333,17079.83333,217.5,0.533333333,0.0,0.0,0.033333333,0.466666667,4,0.428571429,8.097012456,1.41671153,27,25,0,0,0,0,1,0,0,8.097012456,6.665683718,7.561641746,5.780743516,7.561641746,37.33333333,2,Strong,72.70562820886525
ZitongLu1996,72.67998138175183,Strong,ZitongLu1996,373,34,37,0,2482.796508,46.71104485,1,1,1,1,0,30,970,32.33333333,129,4.3,970,32.33333333,7,0.233333333,30750.86667,1887.0,0.1,0.0,0.0,0.066666667,0.9,3,0.5,13.70949392,0.046114294,5,4,0,0,0,0,0,0,1,13.70948235,5.924255797,6.878326468,4.86753445,6.878326468,10.65714286,2,Strong,72.67998138175183
brunosimon,72.67484977353793,Strong,brunosimon,21416,0,82,5,4538.925707,343.4043873,0,1,1,1,0,30,6106,203.5333333,1307,43.56666667,6106,203.5333333,56,1.866666667,171935.5,55593.5,0.033333333,0.0,0.0,0.066666667,0.966666667,4,0.655172414,8.482477568,0.39032479,30,20,0,0,8,2,0,0,0,0.887651179,9.971940278,8.717190933,7.176254532,8.717190933,21416.0,2,Strong,72.67484977353793
lyxal,72.64899816375238,Strong,lyxal,344,860,90,33,2929.777952,6.354873054,1,1,1,0,0,30,28,0.933333333,2,0.066666667,28,0.933333333,3,0.1,12842.86667,192.5,0.733333333,0.0,0.0,0.033333333,0.266666667,7,0.5,159.30963,59.1527087,17,7,0,0,0,0,0,0,10,5.559271202,5.843544417,3.36729583,1.098612289,3.36729583,0.399535424,2,Strong,72.64899816375238
Lancetnik,72.64130598009683,Strong,Lancetnik,286,14,49,4,2665.403354,116.1093498,1,1,0,0,0,30,495,16.5,33,1.1,495,16.5,11,0.366666667,28002.23333,1586.5,0.833333333,0.0,0.0,0.033333333,0.166666667,3,0.866666667,1.72988218,0.850611347,30,10,6,4,0,2,4,1,0,1.158713199,5.659482216,6.206575927,3.526360525,6.206575927,19.06666667,2,Strong,72.64130598009683
tropicaaal,72.61259689455318,Strong,tropicaaal,274,65,37,8,2751.0123,14.78683738,1,0,1,0,0,30,739,24.63333333,167,5.566666667,739,24.63333333,54,1.8,36139.83333,2143.0,0.6,0.066666667,0.0,0.066666667,0.4,9,0.227272727,40.60984664,4.173596635,30,22,0,1,1,4,0,0,1,5.652045709,5.616771098,6.606650186,5.123963979,6.606650186,4.151515152,2,Strong,72.61259689455318
jujumilk3,72.60479672781317,Strong,jujumilk3,390,53,87,8,2761.784845,0.708166277,1,0,1,1,0,30,599,19.96666667,131,4.366666667,599,19.96666667,17,0.566666667,142287.5333,755.0,0.566666667,0.0,0.0,0.033333333,0.433333333,7,0.619047619,14.86193943,6.216221832,30,10,0,0,0,0,3,0,17,0.300006555,5.96870756,6.396929655,4.882801923,6.396929655,7.222222222,2,Strong,72.60479672781317
gregpr07,72.60018012311727,Strong,gregpr07,416,20,41,4,2927.026481,38.14010369,1,0,1,0,0,30,15,0.5,1,0.033333333,15,0.5,11,0.366666667,44890.7,6640.0,0.566666667,0.0,0.0,0.0,0.433333333,7,0.3,438.1786569,438.1780204,30,4,7,1,0,2,3,0,9,2.919119894,6.033086222,2.772588722,0.693147181,2.772588722,19.80952381,2,Strong,72.60018012311727
Qengineering,72.59062684277791,Strong,Qengineering,1304,0,177,1,2671.246526,408.4260398,1,1,1,0,0,30,931,31.03333333,260,8.666666667,931,31.03333333,73,2.433333333,8781.466667,5276.5,0.133333333,0.0,0.0,0.0,0.866666667,4,0.814814815,34.51960462,4.336537488,30,26,0,0,0,4,0,0,0,1.077150914,7.17395832,6.837332815,5.564520407,6.837332815,1304.0,2,Strong,72.59062684277791
mgustineli,72.59021737649164,Strong,mgustineli,275,5,42,0,2427.950245,14.64419225,1,1,1,0,0,30,169,5.633333333,35,1.166666667,169,5.633333333,0,0.0,36354.23333,1501.5,0.066666667,0.0,0.0,0.0,0.9,2,0.8,7.991970027,7.99192373,30,27,0,0,1,0,0,0,2,0.23629873,5.620400866,5.135798437,3.583518938,5.135798437,45.83333333,2,Strong,72.59021737649164
asjadnaqvi,72.58051065459192,Strong,asjadnaqvi,875,41,51,0,2859.383343,19.16907204,1,1,1,0,0,30,800,26.66666667,230,7.666666667,800,26.66666667,40,1.333333333,145864.4333,11094.5,0.133333333,0.0,0.0,0.166666667,0.866666667,5,0.72,5.489338243,2.74293778,21,15,2,0,0,0,2,0,0,1.534916947,6.775366091,6.685860947,5.442417711,6.685860947,20.83333333,2,Strong,72.58051065459192
