username,GTS,cluster_name
BethanyJep,85.05466823332415,Strong
iamnotstatic,85.04497256413015,Strong
easyhooon,85.03434761865704,Strong
TonyCrane,85.02531139679041,Strong
NielsRogge,85.01440326131821,Strong
KHemanthRaju,84.92707835477972,Strong
fabpot,84.8313450518549,Strong
athul,84.78372191186048,Strong
mishmanners,84.67530284607017,Strong
chriscoyier,84.6648586996284,Strong
leerob,84.59244043886773,Strong
zenorocha,84.51981938924482,Strong
khuyentran1401,84.51722669577646,Strong
dopaemon,84.49282513355601,Strong
knadh,84.38508081095422,Strong
HoangTran0410,84.33343918292559,Strong
elhadjx,84.27561730785975,Strong
AmberLJC,84.25380810201509,Strong
gamemann,84.1987775709838,Strong
sigridjineth,84.1911779759574,Strong
geohot,84.12524349107298,Strong
FedericoTartarini,84.09366067396951,Strong
idimetrix,84.07988298041458,Strong
MasterJH5574,84.06015768680132,Strong
Rubix982,84.04061014317588,Strong
EngincanV,83.97623939676441,Strong
bracesproul,83.97104015713215,Strong
ssoad,83.93848642174017,Strong
elianiva,83.89961348912675,Strong
yyx990803,83.84073971344671,Strong
gleich,83.77416977533483,Strong
mertcanaltin,83.66071009114279,Strong
anton-karlovskiy,83.60454839421574,Strong
akitaonrails,83.59768946283006,Strong
danharrin,83.56000312143155,Strong
Stypox,83.53514392018599,Strong
fbiego,83.50791843324386,Strong
sumithemmadi,83.5043637262342,Strong
pierpaolo28,83.49159677131547,Strong
davinyleticia,83.44119103401911,Strong
ibaiGorordo,83.43911490094749,Strong
jspw,83.42749145545072,Strong
monokaijs,83.37217109657776,Strong
khalby786,83.34392484527467,Strong
fernandoleonid,83.32520596837392,Strong
hunghg255,83.29281305930223,Strong
thepushkarp,83.25653651701606,Strong
mdrakibtrofder,83.230761282921,Strong
acheong08,83.16891662892124,Strong
ShenQingchuan,83.1492999449376,Strong
sgbaird,83.1477999965631,Strong
codereport,83.03831689901813,Strong
LuiseFreese,82.98901494800191,Strong
AyraHikari,82.96447507744959,Strong
ali77gh,82.94518590130521,Strong
danielmiessler,82.91204095812792,Strong
hmmhmmhm,82.90249808701239,Strong
extratone,82.84927120073502,Strong
mateusfg7,82.83985404163388,Strong
ashishpatel26,82.78936869091446,Strong
tomaarsen,82.77262186487124,Strong
sharmaadityaHQ,82.76237621078394,Strong
SebaUbuntu,82.74981328777037,Strong
sooftware,82.74450818110148,Strong
pedrobergamini,82.67685580332272,Strong
nobiit,82.67140997674376,Strong
bigbigDreamer,82.66277344995369,Strong
shubham0204,82.52619619126953,Strong
anthonyshew,82.52208027245885,Strong
instrik,82.51064570888508,Strong
NanmiCoder,82.4935428148995,Strong
JeffreyXiang,82.44899699534145,Strong
rsc,82.38283777143502,Strong
Aslemammad,82.37378038190798,Strong
irsyadadl,82.3630114374074,Strong
mouredev,82.3279240071719,Strong
cybercoder-naj,82.31978474374702,Strong
SebKrantz,82.29981581524657,Strong
fankes,82.23389953755483,Strong
tqchen,82.22645830588002,Strong
aidenybai,82.22533393886542,Strong
hellosagar,82.19000942442972,Strong
alex,82.18107241992014,Strong
lucasrmagalhaes,82.14043752571897,Strong
Sjj1024,82.12635214847356,Strong
mbostock,82.1252869946659,Strong
yongkanghe,82.11002447972986,Strong
krypton-byte,82.05890018853901,Strong
Codennnn,82.03304874185113,Strong
egoist,82.02132001405359,Strong
sjtuyinjie,81.99014202872095,Strong
fabian-hiller,81.91898765738418,Strong
chonyy,81.91275821628966,Strong
matt-sd-watson,81.8422336280276,Strong
Rohit19060,81.83581457380447,Strong
simonpcouch,81.67284529746019,Strong
MARD1NO,81.61585085732742,Strong
WaffleLapkin,81.59519989540024,Strong
JasonXuDeveloper,81.58115436046837,Strong
wangrongding,81.50263831491944,Strong
noghartt,81.48649984041712,Strong
johnpapa,81.46722369300106,Strong
ReaJason,81.46107631008492,Strong
jeresig,81.45290010754476,Strong
collinskoech11,81.44273203472636,Strong
colodenn,81.39954253038371,Strong
Alex313031,81.38072448137126,Strong
aviatesk,81.3737341162203,Strong
BBuf,81.31157924120994,Strong
arifszn,81.2408667314626,Strong
tuhinpal,81.22407191698358,Strong
Daksh777,81.22130004330337,Strong
sorrycc,81.17787047853882,Strong
mdo,80.89737229073255,Strong
Pradumnasaraf,80.8789649308078,Strong
joshuaellis,80.84827580857183,Strong
darecoder,80.82466207368732,Strong
sanyuan0704,80.77597711755789,Strong
MarioSieg,80.7503252065344,Strong
cloudwu,80.7200630117363,Strong
rohittp0,80.67540676369451,Strong
joseluisgs,80.67480940596059,Strong
edoardottt,80.62596747104595,Strong
hoochanlon,80.56315938638718,Strong
chriswblake,80.54913317697986,Strong
VisualGMQ,80.53399377360259,Strong
nzakas,80.50135595774464,Strong
mjoshua97241,80.44500471603274,Strong
cxapython,80.44356352319764,Strong
LyoSU,80.42715451686762,Strong
perkinsjr,80.37962882018617,Strong
miguelgrinberg,80.34576899564496,Strong
angelofallars,80.33201656806986,Strong
loiane,80.32511134393481,Strong
simonw,80.3243654384137,Strong
llsc12,80.31686414028277,Strong
aregtech,80.26854071728147,Strong
ry,80.24231363876845,Strong
r-lyeh,80.23390477207668,Strong
Rishit-dagli,80.22684353712904,Strong
ludoguenet,80.18309968721792,Strong
betomoedano,80.16014384018803,Strong
es3n1n,80.0628945963015,Strong
samyk,80.06208000196708,Strong
Androz2091,79.99014254991926,Strong
JoaoNt599,79.96383050647349,Strong
bhav09,79.9223618278278,Strong
prateek-chaubey,79.80444070974437,Strong
vcwild,79.76471628520451,Strong
echo724,79.73218736027856,Strong
LauraBeatris,79.62639018807299,Strong
alestanalves,79.58590958537354,Strong
ATQQ,79.5709388327998,Strong
Blueberryy,79.51611717777615,Strong
Xunzhuo,79.51589304571937,Strong
jadijadi,79.50736488896887,Strong
tfkhdyt,79.48024276971144,Strong
heli-os,79.40545559993095,Strong
jhonataT,79.32968568900341,Strong
HarshKapadia2,79.29846070820855,Strong
geoffreylgv,79.29448768316297,Strong
antirez,79.22691797912404,Strong
isaacs,79.22236499495946,Strong
FeynmanZhou,79.20092604998594,Strong
guilyx,79.17757462827585,Strong
XiaomingX,79.10533804870116,Strong
silvesterwali,79.06960621034884,Strong
likyoo,79.04126330838457,Strong
tiangolo,78.9644224838819,Strong
khanhduytran0,78.92379324748171,Strong
robertolima-dev,78.9037635079509,Strong
lessw2020,78.89088366506313,Strong
johntango,78.88083833437575,Strong
mena-rizkalla,78.8342642702417,Strong
enyelsequeira,78.82602001128694,Strong
dapplion,78.81922918832683,Strong
wu-kan,78.77549786951741,Strong
vvbbnn00,78.76271487927673,Strong
I-am-abdulazeez,78.75855892787808,Strong
soumyadip007,78.74791503813648,Strong
chrisbanes,78.71888058387493,Strong
amirhallaji,78.56930938962235,Strong
openoms,78.55452164847935,Strong
dilshankarunarathne,78.51769360899439,Strong
yceffort,78.4952753643573,Strong
ibidi,78.48557809900743,Strong
mathiasbynens,78.47671089764471,Strong
easychen,78.45704389140957,Strong
caiyuanhao1998,78.4345322449598,Strong
Farzinkh,78.4308213807391,Strong
nerolation,78.41522657977866,Strong
kumpulanremaja,78.26115623560156,Strong
FDlucifer,78.26030095286514,Strong
BetaHuhn,78.2530190948514,Strong
arrowtype,78.24213709238234,Strong
521xueweihan,78.23657117454081,Strong
miguelsolorio,78.21040259374945,Strong
jessfraz,78.18714421023444,Strong
amrbashir,78.18548673676281,Strong
vickiegpt,78.1746920323946,Strong
3outeille,78.16716786719277,Strong
taylorotwell,78.15912154742743,Strong
developit,78.15702897071064,Strong
dodziraynard,78.07943269831571,Strong
bartekpacia,78.05880183604224,Strong
Rayato159,78.05588926544482,Strong
muneebwanee,78.04947470483293,Strong
MartMbithi,77.96543292939094,Strong
Antropocosmist,77.92916934417661,Strong
ashishps1,77.879921227799,Strong
qtc-de,77.87231375604847,Strong
robbytrujillo,77.84403515550059,Strong
devploit,77.78991633310838,Strong
bigtreetech,77.70220155914166,Strong
in28minutes,77.68274705841901,Strong
JasonkayZK,77.63177855420783,Strong
AbdelStark,77.62664035167474,Strong
ThatOneCalculator,77.52484651982746,Strong
YunaiV,77.48361369840418,Strong
sereneinserenade,77.46757723567848,Strong
ldkong1205,77.43533662897354,Strong
NotNite,77.38306346645919,Strong
bugelseif,77.35634653369449,Strong
michaelfromyeg,77.33630186722024,Strong
Milo123459,77.32320103193214,Strong
3b1b,77.31114965505985,Strong
yeonjuan,77.2888190951833,Strong
pietro-swe,77.28784906250527,Strong
keijiro,77.19618582172367,Strong
fujitatomoya,77.17725823647228,Strong
codefarm0,77.13501371544238,Strong
numandev1,77.0428210070881,Strong
mhmzdev,77.02986148135432,Strong
Tanu-N-Prabhu,77.00828007723473,Strong
milos-agathon,76.98883966263395,Strong
Dawntraoz,76.91730005749909,Strong
sachuverma,76.90384017921501,Strong
LimHyungTae,76.90296066577127,Strong
Timothyxxx,76.89419885154724,Strong
shivangraikar,76.87703631893035,Strong
Kin-Zhang,76.86974921142257,Strong
sbis04,76.86881262110509,Strong
soumilshah1995,76.79846963605897,Strong
Myndex,76.66911452151372,Strong
Barbapapazes,76.569264828317,Strong
zhuozhiyongde,76.4728517303266,Strong
MonicaHillman,76.47202985709602,Strong
AykutSarac,76.44857497199935,Strong
arjungautam1,76.43368800102232,Strong
refraction-ray,76.39992099175927,Strong
wellifabio,76.38799582080614,Strong
Groverkss,76.38557707550515,Strong
JerBouma,76.2543469555253,Strong
wesenbergg,76.2396822478492,Strong
kingabzpro,76.23066740818983,Strong
wrongbaud,76.21719190687193,Strong
osvaldokalvaitir,76.20080576810994,Strong
max-programming,76.15144769967563,Strong
rfgplk,76.13771622171554,Strong
ugurkocde,76.0964260581091,Strong
AndrewKushnir,76.08837304673605,Strong
yanyongyu,76.05406537416233,Strong
ajnart,76.04222003248748,Strong
whoisryosuke,76.02597124413374,Strong
uncenter,76.0179345360782,Strong
jameskokoska,75.96656020397455,Strong
likaia,75.8706006952789,Strong
narasimhareddyprostack,75.85588571175965,Strong
thiagobraddock,75.83709920516776,Strong
360NENZ,75.82573532681639,Strong
JohnbelMDev,75.80273733540331,Strong
xxchan,75.7903202706113,Strong
SiriusNEO,75.78321394106672,Strong
ahmedshahriar,75.76604004995892,Strong
ElliotOne,75.70517683107194,Strong
vickkie,75.69627233352388,Strong
ni5arga,75.68915230806203,Strong
Steve-xmh,75.6802873685093,Strong
RockChinQ,75.66265746891483,Strong
midopooler,75.6293801619605,Strong
Doctor-wu,75.60865290973688,Strong
necatiergin,75.60375520930992,Strong
iam-veeramalla,75.60202650441809,Strong
wycats,75.52905629217123,Strong
ErickWendel,75.51311922541497,Strong
gngsn,75.4954901940281,Strong
cutupdev,75.42754744919819,Strong
changh95,75.42298261580265,Strong
nimrodkra,75.42121177484478,Strong
figsoda,75.39350574101374,Strong
atymic,75.33651443700953,Strong
jjrh92,75.28021362487438,Strong
unclebob,75.17130873619632,Strong
nimishbongale,75.1034543507341,Strong
hsyodyssey,75.07917674531541,Strong
shiftkey,75.05869403632232,Strong
GitPinkRabbit,75.04293099354189,Strong
AndrewRathbun,75.04008862785606,Strong
NikolayOskolkov,75.01810462473337,Strong
erdengk,74.9847864455221,Strong
shaoruu,74.96313541960232,Strong
lisonge,74.9294917094771,Strong
king-11,74.90904110070967,Strong
miaotony,74.88662846709862,Strong
